"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1004.6","1005.7","1006.9","2001-07-10 00:01","1003.4","2001-07-10 23:52","29.4","32.9","2001-07-10 13:11","26.8","2001-07-10 03:58","23.8","72","56","2001-07-10 10:49","1.4","50","6.1","110","2001-07-10 14:11","0.0","0.0","0.0","...","0.0","...","6.1","45.5","20.58","21.9","5.8","13","2001-07-10 12:00","6.8"
"11","999.9","1001.0","1003.5","2001-07-11 00:01","998.0","2001-07-11 15:44","28.2","33.3","2001-07-11 12:22","25.2","2001-07-11 22:21","23.6","77","55","2001-07-11 09:06","2.3","50","11.7","250","2001-07-11 16:52","16.5","7.5","2.5","2001-07-11 17:31","7.0","2001-07-11 16:56","7.1","53.0","16.51","17.5","-3.9","11","2001-07-11 12:00","7.4"
"12","999.4","1000.5","1003.0","2001-07-12 22:12","997.0","2001-07-12 15:25","29.4","33.7","2001-07-12 13:49","25.9","2001-07-12 00:01","23.2","70","53","2001-07-12 14:42","2.6","210","13.6","280","2001-07-12 02:08","0.0","0.0","0.0","...","0.0","...","11.2","83.7","25.64","21.9","5.8","13","2001-07-12 13:00","4.5"
"13","1003.5","1004.6","1006.3","2001-07-13 22:38","1001.5","2001-07-13 02:53","28.9","32.6","2001-07-13 10:59","26.0","2001-07-13 05:34","23.2","72","62","2001-07-13 10:59","1.9","190","11.6","270","2001-07-13 15:03","0.0","0.0","0.0","...","0.0","...","12.1","90.4","25.16","21.3","5.4","12","2001-07-13 13:00","1.8"
"14","1006.4","1007.5","1008.1","2001-07-14 22:41","1004.5","2001-07-14 16:48","29.0","32.2","2001-07-14 14:27","25.7","2001-07-14 05:24","23.4","72","61","2001-07-14 07:05","1.6","180","7.2","60","2001-07-14 18:03","0.0","0.0","0.0","...","0.0","...","11.1","83.0","24.69","21.9","5.8","12","2001-07-14 12:00","2.5"
"15","1006.9","1008.0","1008.1","2001-07-15 00:09","1005.3","2001-07-15 16:02","29.1","31.9","2001-07-15 11:05","26.9","2001-07-15 05:17","24.5","77","68","2001-07-15 08:03","1.2","170","4.9","150","2001-07-15 10:59","0.0","0.0","0.0","...","0.0","...","6.6","49.4","18.81","18.5","4.1","11","2001-07-15 12:00","5.9"
"16","1006.0","1007.1","1007.4","2001-07-16 07:12","1004.8","2001-07-16 15:49","28.8","32.7","2001-07-16 13:40","26.8","2001-07-16 23:04","23.8","74","63","2001-07-16 13:01","1.3","310","6.2","320","2001-07-16 16:09","0.0","0.0","0.0","...","0.0","...","7.3","54.7","19.90","18.8","5.9","12","2001-07-16 13:00","7.9"
"17","1004.2","1005.3","1005.8","2001-07-17 21:27","1002.8","2001-07-17 04:26","28.7","31.9","2001-07-17 13:01","26.1","2001-07-17 03:41","23.4","74","61","2001-07-17 08:26","1.3","320","4.7","150","2001-07-17 13:04","0.0","0.0","0.0","...","0.0","...","5.0","37.5","16.30","18.1","4.6","10","2001-07-17 12:00","6.9"
"18","1004.4","1005.5","1007.1","2001-07-18 22:05","1002.4","2001-07-18 03:38","29.1","32.3","2001-07-18 14:31","25.9","2001-07-18 05:35","23.7","73","62","2001-07-18 08:41","1.5","50","6.1","120","2001-07-18 14:34","0.0","0.0","0.0","...","0.0","...","8.9","66.8","21.76","20.0","5.3","12","2001-07-18 12:00","5.9"
"19","1005.6","1006.7","1006.8","2001-07-19 22:01","1003.9","2001-07-19 02:19","29.1","32.4","2001-07-19 11:50","26.7","2001-07-19 05:04","24.2","75","61","2001-07-19 08:41","1.3","300","5.0","130","2001-07-19 11:43","0.0","0.0","0.0","...","0.0","...","6.2","46.6","19.16","19.4","4.2","13","2001-07-19 12:00","6.3"
"20","1005.8","1006.9","1007.6","2001-07-20 23:48","1004.5","2001-07-20 15:52","30.1","33.7","2001-07-20 11:49","26.7","2001-07-20 04:50","24.1","71","48","2001-07-20 11:55","1.7","50","6.3","140","2001-07-20 14:32","0.0","0.0","0.0","...","0.0","...","11.8","88.7","25.09","21.3","-4.9","13","2001-07-20 12:00","2.3"
"21","1007.8","1008.9","1009.6","2001-07-21 21:48","1006.2","2001-07-21 02:20","29.1","32.0","2001-07-21 13:24","26.0","2001-07-21 02:53","25.0","79","71","2001-07-21 10:14","1.3","180","4.7","200","2001-07-21 14:18","7.0","2.1","2.5","2001-07-21 01:13","6.0","2001-07-21 01:03","12.1","91.1","25.86","22.5","5.3","13","2001-07-21 13:00","3.8"
"22","1008.3","1009.4","1009.3","2001-07-22 07:35","1006.8","2001-07-22 16:21","29.5","32.4","2001-07-22 12:01","26.5","2001-07-22 05:07","24.3","74","57","2001-07-22 08:42","1.4","130","5.7","130","2001-07-22 12:35","0.0","0.0","0.0","...","0.0","...","11.6","87.4","25.24","22.5","5.8","13","2001-07-22 13:00","1.5"
"23","1005.6","1006.7","1008.1","2001-07-23 00:01","1003.8","2001-07-23 16:00","28.0","32.8","2001-07-23 09:35","25.4","2001-07-23 22:42","24.1","80","62","2001-07-23 09:39","2.1","40","13.1","150","2001-07-23 11:51","13.5","6.1","2.5","2001-07-23 18:16","5.0","2001-07-23 17:26","4.8","36.2","10.78","17.5","-2.1","8","2001-07-23 11:00","6.9"
"24","1005.9","1007.0","1007.5","2001-07-24 22:15","1004.7","2001-07-24 02:35","27.8","31.2","2001-07-24 09:33","24.7","2001-07-24 04:49","24.4","82","69","2001-07-24 09:33","1.6","50","6.5","90","2001-07-24 15:47","23.0","4.0","5.5","2001-07-24 02:56","16.5","2001-07-24 02:29","2.3","17.4","13.06","16.9","-2.4","7","2001-07-24 11:00","8.6"
"25","1007.4","1008.5","1009.0","2001-07-25 21:23","1005.9","2001-07-25 03:08","26.8","28.7","2001-07-25 14:07","24.7","2001-07-25 01:41","23.9","85","76","2001-07-25 13:57","1.2","350","8.4","100","2001-07-25 10:26","9.5","3.5","3.0","2001-07-25 00:14","5.0","2001-07-25 00:00","0.0","0.0","5.16","16.3","-2.6","4","2001-07-25 15:00","9.3"
"26","1007.5","1008.6","1008.7","2001-07-26 00:01","1006.2","2001-07-26 16:06","28.6","31.7","2001-07-26 09:44","26.4","2001-07-26 03:10","24.7","80","68","2001-07-26 09:37","1.3","300","5.7","90","2001-07-26 11:52","1.0","2.5","0.3","2001-07-26 18:50","0.8","2001-07-26 18:30","5.5","41.6","18.44","20.6","-3.5","12","2001-07-26 12:00","7.1"
"27","1006.1","1007.2","1007.9","2001-07-27 00:01","1004.4","2001-07-27 15:27","29.3","32.8","2001-07-27 12:36","26.3","2001-07-27 05:40","24.2","75","60","2001-07-27 09:58","1.4","300","5.7","150","2001-07-27 12:19","0.0","0.0","0.0","...","0.0","...","10.1","76.5","24.32","23.1","5.3","13","2001-07-27 13:00","3.8"
"28","1004.1","1005.2","1005.9","2001-07-28 09:32","1002.3","2001-07-28 17:34","29.7","33.2","2001-07-28 12:10","26.7","2001-07-28 04:45","23.8","71","58","2001-07-28 12:22","1.9","30","8.7","70","2001-07-28 16:07","0.0","0.0","0.0","...","0.0","...","10.1","76.6","23.34","23.8","4.8","12","2001-07-28 13:00","2.6"
"29","998.4","999.5","1003.6","2001-07-29 00:46","990.4","2001-07-29 22:56","28.5","31.6","2001-07-29 12:14","26.3","2001-07-29 20:36","23.5","75","59","2001-07-29 12:20","2.2","30","18.9","250","2001-07-29 23:32","17.5","6.6","3.5","2001-07-29 17:44","9.5","2001-07-29 17:00","0.1","0.8","5.83","16.5","-1.7","6","2001-07-29 11:00","9.8"
"30","998.7","999.8","1002.7","2001-07-30 23:51","990.9","2001-07-30 01:29","29.1","29.9","2001-07-30 15:45","27.9","2001-07-30 00:18","23.4","72","63","2001-07-30 17:16","3.9","210","19.6","250","2001-07-30 02:11","2.5","3.4","0.5","2001-07-30 00:01","1.0","2001-07-30 00:01","0.0","0.0","1.56","16.9","-1.6","2","2001-07-30 14:00","10.0"
"31","1003.1","1004.2","1005.6","2001-07-31 21:59","1001.5","2001-07-31 14:06","28.4","32.3","2001-07-31 13:37","25.4","2001-07-31 05:39","23.7","76","63","2001-07-31 14:17","1.4","40","8.2","100","2001-07-31 14:27","0.0","0.0","0.0","...","0.0","...","5.4","41.1","18.45","18.8","3.8","12","2001-07-31 12:00","8.1"
