"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"18","1003.9","1005.0","1005.1","2021-07-18 00:01","1002.6","2021-07-18 16:30","29.6","32.6","2021-07-18 14:13","26.9","2021-07-18 04:39","24.4","74","60","2021-07-18 14:35","1.9","80","7.2","90","2021-07-18 11:45","0.0","0.0","0.0","...","0.0","...","11.5","86.4","27.57","30.0","4.2","13","2021-07-18 12:00","5.5"
"19","1003.9","1005.0","1005.2","2021-07-19 10:44","1002.5","2021-07-19 15:15","29.8","32.2","2021-07-19 14:39","27.5","2021-07-19 03:57","24.6","74","60","2021-07-19 09:10","1.8","60","7.5","70","2021-07-19 15:43","T","0.3","T","2021-07-19 19:49","T","2021-07-19 19:49","8.0","60.1","21.80","28.8","-6.8","11","2021-07-19 11:00","8.8"
"20","1003.1","1004.2","1004.3","2021-07-20 08:22","1001.9","2021-07-20 14:46","29.8","32.6","2021-07-20 11:56","27.9","2021-07-20 05:04","24.9","75","65","2021-07-20 09:25","1.8","70","8.3","90","2021-07-20 10:49","0.0","0.0","0.0","...","0.0","...","6.0","45.2","20.57","28.8","5.7","13","2021-07-20 12:00","9.6"
"21","999.7","1000.8","1002.5","2021-07-21 00:05","997.4","2021-07-21 23:49","29.7","33.1","2021-07-21 12:43","26.8","2021-07-21 04:45","24.5","74","59","2021-07-21 12:18","1.6","190","6.5","180","2021-07-21 14:24","T","0.4","T","2021-07-21 19:02","T","2021-07-21 19:02","8.2","61.8","23.73","28.1","-5.7","13","2021-07-21 13:00","6.6"
"22","993.3","994.4","997.3","2021-07-22 00:01","991.6","2021-07-22 23:45","29.4","32.4","2021-07-22 11:54","27.4","2021-07-22 03:42","25.1","78","64","2021-07-22 07:58","1.5","310","6.3","200","2021-07-22 13:07","3.0","0.8","2.0","2021-07-22 17:16","3.0","2021-07-22 17:05","5.6","42.2","18.98","25.0","-4.6","10","2021-07-22 12:00","9.1"
"23","989.6","990.7","991.6","2021-07-23 00:01","988.3","2021-07-23 15:26","30.0","32.7","2021-07-23 11:39","27.1","2021-07-23 05:19","25.0","75","63","2021-07-23 16:02","1.3","310","6.3","230","2021-07-23 12:53","0.0","0.0","0.0","...","0.0","...","3.5","26.4","17.65","26.9","3.1","11","2021-07-23 11:00","8.8"
"24","990.4","991.5","993.9","2021-07-24 22:28","987.0","2021-07-24 05:49","30.1","33.3","2021-07-24 12:20","27.5","2021-07-24 05:11","26.5","81","70","2021-07-24 10:26","1.7","90","8.5","40","2021-07-24 09:50","T","0.2","T","2021-07-24 14:53","T","2021-07-24 14:53","6.8","51.4","21.36","26.0","-4.7","14","2021-07-24 12:00","8.4"
"25","993.2","994.3","995.2","2021-07-25 22:28","992.1","2021-07-25 12:49","31.0","36.3","2021-07-25 11:35","28.1","2021-07-25 03:30","25.8","74","49","2021-07-25 11:36","1.7","70","8.2","60","2021-07-25 13:53","0.5","0.2","0.5","2021-07-25 17:05","0.5","2021-07-25 17:05","8.6","65.1","22.75","30.0","-5.0","12","2021-07-25 12:00","7.9"
"26","994.2","995.3","996.3","2021-07-26 21:43","992.9","2021-07-26 15:01","31.3","35.1","2021-07-26 11:17","28.5","2021-07-26 05:18","25.3","71","52","2021-07-26 11:17","1.6","60","8.5","60","2021-07-26 13:40","0.0","0.0","0.0","...","0.0","...","11.9","90.1","24.45","29.1","6.1","11","2021-07-26 13:00","6.9"
"27","995.1","996.2","996.1","2021-07-27 21:39","994.1","2021-07-27 04:36","30.5","33.5","2021-07-27 12:16","28.3","2021-07-27 05:23","25.3","74","64","2021-07-27 18:40","1.5","320","6.5","30","2021-07-27 10:30","0.0","0.0","0.0","...","0.0","...","6.8","51.6","21.28","31.9","4.6","13","2021-07-27 12:00","7.0"
"28","997.1","998.2","999.3","2021-07-28 22:13","994.7","2021-07-28 04:20","29.7","33.4","2021-07-28 11:44","27.7","2021-07-28 03:04","25.0","76","65","2021-07-28 16:47","1.6","320","8.7","60","2021-07-28 08:05","T","0.4","T","2021-07-28 14:20","T","2021-07-28 14:20","7.9","60.0","21.65","31.9","-5.9","13","2021-07-28 13:00","5.9"
"29","999.6","1000.7","1002.2","2021-07-29 22:35","997.5","2021-07-29 02:45","30.0","33.4","2021-07-29 14:53","27.3","2021-07-29 04:32","25.3","76","62","2021-07-29 15:06","1.5","340","5.5","90","2021-07-29 17:37","0.0","0.0","0.0","...","0.0","...","7.9","60.0","23.23","25.9","5.5","12","2021-07-29 13:00","7.1"
"30","1000.9","1002.0","1002.2","2021-07-30 10:20","999.2","2021-07-30 04:09","29.5","33.3","2021-07-30 11:25","28.1","2021-07-30 03:24","25.2","78","63","2021-07-30 11:02","1.3","170","4.7","200","2021-07-30 17:39","T","0.7","T","2021-07-30 14:05","T","2021-07-30 13:40","2.9","22.1","14.16","23.8","-5.3","13","2021-07-30 12:00","8.9"
"31","999.7","1000.8","1001.8","2021-07-31 08:35","998.3","2021-07-31 23:48","27.8","30.3","2021-07-31 08:10","26.1","2021-07-31 18:42","24.9","85","68","2021-07-31 08:08","1.2","320","5.4","240","2021-07-31 18:11","4.5","6.5","1.0","2021-07-31 15:47","2.5","2021-07-31 15:31","0.6","4.6","7.95","19.9","/","5","2021-07-31 10:00","9.5"
