"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1003.9","1005.0","1005.8","2009-07-10 22:24","1002.4","2009-07-10 16:29","28.6","31.9","2009-07-10 12:15","26.4","2009-07-10 04:00","25.0","81","67","2009-07-10 12:45","2.4","30","10.1","40","2009-07-10 11:48","2.3","2.2","1.0","2009-07-10 03:45","1.9","2009-07-10 03:15","1.8","13.4","14.72","20.1","-3.6","7","2009-07-10 13:00","8.8"
"11","1005.6","1006.7","1007.4","2009-07-11 22:53","1004.2","2009-07-11 02:35","28.9","33.0","2009-07-11 13:30","26.3","2009-07-11 04:36","25.4","82","64","2009-07-11 14:32","1.6","360","6.7","90","2009-07-11 16:10","4.8","2.6","1.0","2009-07-11 07:28","2.0","2009-07-11 07:01","5.5","41.1","19.03","19.5","-3.8","11","2009-07-11 13:00","6.6"
"12","1004.4","1005.5","1006.9","2009-07-12 00:04","1002.6","2009-07-12 15:55","29.6","33.3","2009-07-12 12:46","26.6","2009-07-12 04:14","24.8","76","65","2009-07-12 12:46","2.7","50","11.1","40","2009-07-12 17:23","0.0","0.0","0.0","...","0.0","...","10.8","80.7","27.61","20.6","-5.6","11","2009-07-12 12:00","3.5"
"13","1001.9","1003.0","1006.0","2009-07-13 21:43","998.1","2009-07-13 13:47","26.0","28.5","2009-07-13 00:01","24.7","2009-07-13 12:39","24.3","90","73","2009-07-13 01:04","1.5","310","8.8","220","2009-07-13 15:34","163.0","17.6","11.5","2009-07-13 12:25","36.5","2009-07-13 11:46","0.0","0.0","1.02","9.3","/","2","2009-07-13 11:00","9.8"
"14","1006.6","1007.7","1008.3","2009-07-14 21:50","1005.3","2009-07-14 02:29","26.6","29.9","2009-07-14 09:40","24.8","2009-07-14 02:04","24.9","91","78","2009-07-14 09:13","0.9","330","4.8","310","2009-07-14 12:58","85.5","10.4","15.5","2009-07-14 12:47","40.5","2009-07-14 12:12","0.8","6.0","7.61","14.3","-2.8","4","2009-07-14 10:00","9.3"
"15","1007.3","1008.4","1008.8","2009-07-15 09:55","1006.0","2009-07-15 15:24","28.6","32.3","2009-07-15 12:11","25.7","2009-07-15 00:37","25.4","83","66","2009-07-15 12:07","1.2","90","4.7","100","2009-07-15 10:22","0.5","0.4","0.5","2009-07-15 20:09","0.5","2009-07-15 20:09","7.6","56.9","24.64","17.5","-6.7","11","2009-07-15 13:00","6.0"
"16","1006.2","1007.3","1008.0","2009-07-16 00:01","1004.1","2009-07-16 16:06","29.3","32.6","2009-07-16 12:25","26.5","2009-07-16 05:03","25.2","79","65","2009-07-16 12:25","2.4","60","9.4","70","2009-07-16 22:56","0.0","0.0","0.0","...","0.0","...","10.6","79.4","27.66","20.4","-4.5","11","2009-07-16 13:00","3.0"
"17","1002.3","1003.4","1005.6","2009-07-17 00:18","999.9","2009-07-17 15:51","27.5","31.4","2009-07-17 12:23","25.5","2009-07-17 16:59","24.6","84","68","2009-07-17 12:20","3.3","30","16.4","30","2009-07-17 19:44","60.0","10.2","5.5","2009-07-17 16:06","15.5","2009-07-17 20:26","2.5","18.7","12.24","13.4","/","7","2009-07-17 13:00","8.9"
"18","1003.6","1004.7","1007.5","2009-07-18 23:15","1000.6","2009-07-18 01:54","28.2","31.6","2009-07-18 13:12","25.3","2009-07-18 13:49","26.0","88","74","2009-07-18 12:39","2.5","140","12.4","230","2009-07-18 13:15","36.4","4.3","9.5","2009-07-18 13:34","20.5","2009-07-18 13:00","1.9","14.3","14.05","10.5","-4.6","9","2009-07-18 13:00","9.1"
"19","1007.6","1008.7","1010.7","2009-07-19 22:17","1005.9","2009-07-19 02:18","27.9","31.9","2009-07-19 12:52","25.0","2009-07-19 05:55","25.6","87","75","2009-07-19 16:57","1.3","350","6.4","330","2009-07-19 02:59","18.5","4.4","4.0","2009-07-19 05:42","6.5","2009-07-19 05:12","7.1","53.3","21.44","14.0","-4.3","12","2009-07-19 13:00","7.6"
"20","1010.4","1011.5","1012.7","2009-07-20 22:16","1008.7","2009-07-20 03:42","28.9","31.8","2009-07-20 12:44","26.1","2009-07-20 06:51","26.0","85","74","2009-07-20 13:47","1.6","180","7.1","180","2009-07-20 11:49","11.5","2.6","4.5","2009-07-20 04:36","8.5","2009-07-20 04:18","7.7","57.9","25.15","15.9","4.3","10","2009-07-20 12:00","8.3"
"21","1008.5","1009.6","1011.8","2009-07-21 00:01","1006.6","2009-07-21 15:49","29.1","31.8","2009-07-21 11:48","26.6","2009-07-21 05:59","25.8","82","72","2009-07-21 12:13","2.1","200","6.8","190","2009-07-21 21:45","0.0","0.0","0.0","...","0.0","...","7.9","59.5","23.07","17.4","4.9","11","2009-07-21 13:00","6.4"
"22","1004.4","1005.5","1007.1","2009-07-22 00:01","1002.1","2009-07-22 16:32","29.3","33.3","2009-07-22 13:21","26.2","2009-07-22 04:22","25.0","78","63","2009-07-22 13:39","1.3","50","8.4","80","2009-07-22 13:49","0.0","0.0","0.0","...","0.0","...","11.7","88.1","24.51","19.4","4.2","11","2009-07-22 13:00","3.8"
"23","1003.7","1004.8","1004.8","2009-07-23 00:02","1002.5","2009-07-23 16:20","29.2","32.3","2009-07-23 11:50","26.5","2009-07-23 06:01","25.5","81","73","2009-07-23 11:39","1.4","110","5.6","90","2009-07-23 10:10","0.0","0.0","0.0","...","0.0","...","10.6","79.9","27.12","18.8","5.6","10","2009-07-23 12:00","3.1"
"24","1002.3","1003.4","1004.1","2009-07-24 00:01","1000.8","2009-07-24 13:30","29.6","33.7","2009-07-24 13:17","26.5","2009-07-24 04:30","24.3","74","58","2009-07-24 12:39","1.5","310","8.5","30","2009-07-24 14:33","0.0","0.0","0.0","...","0.0","...","10.3","77.8","24.98","18.0","5.4","9","2009-07-24 13:00","4.9"
"25","1003.3","1004.4","1004.9","2009-07-25 22:35","1001.2","2009-07-25 15:51","29.5","32.1","2009-07-25 10:58","27.1","2009-07-25 05:50","24.6","75","66","2009-07-25 14:56","2.3","200","13.1","210","2009-07-25 15:24","0.0","0.0","0.0","...","0.0","...","11.3","85.4","26.22","17.1","6.6","10","2009-07-25 13:00","6.5"
"26","1004.0","1005.1","1005.1","2009-07-26 03:29","1002.4","2009-07-26 16:45","29.1","31.8","2009-07-26 10:48","27.1","2009-07-26 04:56","24.7","77","69","2009-07-26 07:45","1.7","200","9.7","200","2009-07-26 13:44","0.0","0.0","0.0","...","0.0","...","9.3","70.4","23.05","16.0","6.4","10","2009-07-26 12:00","7.4"
"27","1003.7","1004.8","1005.1","2009-07-27 22:39","1001.7","2009-07-27 16:28","29.3","32.0","2009-07-27 13:46","27.1","2009-07-27 04:16","25.7","81","71","2009-07-27 10:24","1.5","200","7.3","200","2009-07-27 10:13","0.0","0.0","0.0","...","0.0","...","11.0","83.3","28.43","18.6","6.4","11","2009-07-27 13:00","6.9"
"28","1003.5","1004.6","1005.6","2009-07-28 22:07","1002.1","2009-07-28 16:10","29.7","32.5","2009-07-28 13:03","27.0","2009-07-28 05:29","25.7","79","68","2009-07-28 08:56","1.5","200","6.7","210","2009-07-28 12:11","0.0","0.0","0.0","...","0.0","...","10.6","80.4","27.94","22.9","5.3","11","2009-07-28 12:00","7.4"
"29","1005.0","1006.1","1007.1","2009-07-29 22:42","1003.8","2009-07-29 14:41","30.1","33.2","2009-07-29 12:57","27.4","2009-07-29 05:07","26.1","79","72","2009-07-29 08:46","1.2","110","4.7","120","2009-07-29 10:37","1.4","0.6","1.4","2009-07-29 23:30","1.4","2009-07-29 23:15","10.7","81.2","28.77","22.3","/","11","2009-07-29 13:00","4.5"
"30","1005.2","1006.3","1007.0","2009-07-30 22:27","1003.5","2009-07-30 16:22","30.0","32.8","2009-07-30 13:01","27.5","2009-07-30 05:20","26.0","80","66","2009-07-30 13:58","1.2","120","4.8","110","2009-07-30 11:20","0.0","0.0","0.0","...","0.0","...","11.9","90.4","28.94","21.6","6.9","11","2009-07-30 13:00","2.3"
"31","1004.0","1005.1","1006.2","2009-07-31 00:03","1001.8","2009-07-31 15:49","30.3","34.0","2009-07-31 12:59","27.6","2009-07-31 05:43","24.9","73","62","2009-07-31 12:45","2.0","40","8.9","60","2009-07-31 12:47","0.0","0.0","0.0","...","0.0","...","10.9","82.9","27.68","22.6","6.5","11","2009-07-31 12:00","2.6"
