"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1004.1","1005.2","1009.8","2000-07-10 22:48","996.9","2000-07-10 00:34","27.9","31.5","2000-07-10 10:23","24.2","2000-07-10 04:36","24.7","83","66","2000-07-10 09:49","1.3","190","7.8","230","2000-07-10 12:41","0.0","0.0","0.0","...","0.0","...","6.6","49.2","19.75","20.6","1.5","10","2000-07-10 11:00","6.5"
"11","1010.3","1011.4","1012.0","2000-07-11 22:03","1008.9","2000-07-11 01:49","28.4","32.0","2000-07-11 13:22","25.1","2000-07-11 02:09","25.1","83","68","2000-07-11 11:01","1.1","150","5.2","190","2000-07-11 12:38","18.0","1.5","8.5","2000-07-11 01:20","15.0","2000-07-11 01:10","10.0","74.6","25.15","20.6","6.5","12","2000-07-11 12:00","3.8"
"12","1009.5","1010.6","1011.2","2000-07-12 00:01","1007.8","2000-07-12 17:04","28.2","31.2","2000-07-12 11:36","23.5","2000-07-12 05:18","24.3","80","65","2000-07-12 15:49","1.4","90","6.2","110","2000-07-12 12:17","10.0","0.6","4.5","2000-07-12 04:50","10.0","2000-07-12 04:40","11.2","83.7","25.64","19.4","6.7","12","2000-07-12 12:00","3.3"
"13","1007.4","1008.5","1009.2","2000-07-13 00:08","1006.1","2000-07-13 15:00","28.8","32.1","2000-07-13 14:01","25.9","2000-07-13 03:00","23.9","75","60","2000-07-13 08:00","1.6","90","10.4","110","2000-07-13 17:32","0.0","0.0","0.0","...","0.0","...","11.9","88.9","24.53","21.9","5.7","12","2000-07-13 12:00","3.9"
"14","1005.7","1006.8","1007.3","2000-07-14 00:01","1004.1","2000-07-14 17:38","28.6","32.6","2000-07-14 13:25","23.3","2000-07-14 23:09","23.6","75","61","2000-07-14 13:27","2.3","30","9.6","110","2000-07-14 23:01","15.0","2.1","5.0","2000-07-14 22:30","11.5","2000-07-14 22:20","10.4","77.8","23.53","23.1","1.4","12","2000-07-14 13:00","2.6"
"15","1005.5","1006.6","1007.3","2000-07-15 23:25","1003.9","2000-07-15 14:41","27.0","32.1","2000-07-15 13:12","22.9","2000-07-15 03:32","24.0","84","65","2000-07-15 13:09","2.2","50","10.9","140","2000-07-15 20:46","12.0","3.4","1.8","2000-07-15 05:17","4.5","2000-07-15 06:20","4.4","32.9","19.30","19.4","4.4","11","2000-07-15 13:00","8.5"
"16","1005.6","1006.7","1007.8","2000-07-16 21:53","1003.7","2000-07-16 02:51","25.2","26.2","2000-07-16 11:44","23.6","2000-07-16 12:59","23.8","92","83","2000-07-16 02:44","1.0","220","7.7","120","2000-07-16 04:49","77.5","12.5","15.5","2000-07-16 12:26","55.5","2000-07-16 12:08","0.0","0.0","5.01","13.8","0.9","4","2000-07-16 15:00","10.0"
"17","1007.5","1008.6","1009.0","2000-07-17 09:03","1006.2","2000-07-17 00:20","24.8","26.0","2000-07-17 16:04","23.5","2000-07-17 06:23","23.9","95","90","2000-07-17 16:36","0.8","310","10.2","260","2000-07-17 04:43","121.5","16.2","15.0","2000-07-17 02:25","31.0","2000-07-17 02:15","0.0","0.0","1.97","10.8","1.6","2","2000-07-17 13:00","10.0"
"18","1006.7","1007.8","1008.1","2000-07-18 21:57","1006.1","2000-07-18 13:03","27.2","30.4","2000-07-18 10:27","24.2","2000-07-18 04:01","24.0","83","60","2000-07-18 13:30","2.0","200","12.3","220","2000-07-18 12:07","0.0","0.0","0.0","...","0.0","...","3.5","26.3","16.06","18.8","4.1","11","2000-07-18 12:00","9.0"
"19","1006.6","1007.7","1008.9","2000-07-19 22:20","1004.7","2000-07-19 14:37","27.6","30.6","2000-07-19 14:01","25.1","2000-07-19 04:43","23.5","79","65","2000-07-19 08:46","1.0","300","5.0","230","2000-07-19 15:01","0.0","0.0","0.0","...","0.0","...","2.7","20.3","14.42","20.0","4.6","8","2000-07-19 14:00","7.9"
"20","1008.7","1009.8","1010.4","2000-07-20 21:51","1007.3","2000-07-20 03:13","28.1","31.8","2000-07-20 14:26","25.2","2000-07-20 03:58","23.8","78","66","2000-07-20 07:45","1.4","100","5.6","140","2000-07-20 13:16","0.0","0.0","0.0","...","0.0","...","8.8","66.2","22.67","19.4","5.6","12","2000-07-20 13:00","6.0"
"21","1009.0","1010.1","1010.2","2000-07-21 07:41","1007.3","2000-07-21 17:00","28.5","31.5","2000-07-21 13:51","25.8","2000-07-21 05:47","23.4","74","61","2000-07-21 16:58","1.2","330","5.4","120","2000-07-21 12:04","0.0","0.0","0.0","...","0.0","...","11.8","88.8","26.66","20.6","6.3","12","2000-07-21 13:00","3.5"
"22","1006.7","1007.8","1009.0","2000-07-22 00:01","1005.0","2000-07-22 17:35","28.3","31.4","2000-07-22 14:14","25.4","2000-07-22 04:41","23.4","75","66","2000-07-22 07:28","1.3","130","4.7","130","2000-07-22 11:40","0.0","0.0","0.0","...","0.0","...","12.0","90.4","26.57","25.0","6.5","13","2000-07-22 13:00","1.4"
"23","1004.3","1005.4","1006.1","2000-07-23 00:01","1002.8","2000-07-23 16:13","28.5","32.2","2000-07-23 12:58","25.0","2000-07-23 04:48","23.3","74","56","2000-07-23 13:17","1.3","310","4.4","120","2000-07-23 12:07","0.0","0.0","0.0","...","0.0","...","12.3","92.8","26.47","23.1","5.8","13","2000-07-23 13:00","1.5"
"24","1003.4","1004.5","1004.7","2000-07-24 08:36","1002.3","2000-07-24 23:59","29.0","32.4","2000-07-24 13:56","25.8","2000-07-24 05:15","24.0","75","62","2000-07-24 08:07","1.5","90","5.4","120","2000-07-24 12:15","0.0","0.0","0.0","...","0.0","...","9.3","70.2","23.52","22.5","6.8","13","2000-07-24 13:00","3.4"
"25","1001.3","1002.4","1002.4","2000-07-25 00:01","999.9","2000-07-25 17:11","29.2","32.5","2000-07-25 13:19","26.6","2000-07-25 05:24","24.1","74","64","2000-07-25 09:58","1.4","300","5.6","140","2000-07-25 10:11","0.0","0.0","0.0","...","0.0","...","9.2","69.5","23.55","21.3","5.8","12","2000-07-25 13:00","5.3"
"26","999.2","1000.3","1000.7","2000-07-26 00:05","997.3","2000-07-26 16:21","29.3","33.1","2000-07-26 12:55","26.2","2000-07-26 04:33","23.4","71","56","2000-07-26 13:09","1.5","60","6.3","130","2000-07-26 12:14","0.0","0.0","0.0","...","0.0","...","10.9","82.5","23.90","23.1","7.1","11","2000-07-26 13:00","4.0"
"27","999.0","1000.1","1000.9","2000-07-27 21:22","997.1","2000-07-27 02:26","29.0","31.5","2000-07-27 13:00","27.0","2000-07-27 05:00","24.1","75","55","2000-07-27 09:01","1.0","140","4.8","110","2000-07-27 16:29","0.0","0.0","0.0","...","0.0","...","4.7","35.6","16.80","19.4","4.4","7","2000-07-27 14:00","6.4"
"28","999.2","1000.3","1000.7","2000-07-28 10:31","998.2","2000-07-28 04:13","29.1","32.5","2000-07-28 10:24","26.7","2000-07-28 05:12","24.4","76","64","2000-07-28 10:12","1.2","320","7.6","90","2000-07-28 10:12","0.0","0.0","0.0","...","0.0","...","7.5","56.9","18.22","20.6","4.4","11","2000-07-28 12:00","5.4"
"29","998.7","999.8","1000.9","2000-07-29 21:01","997.2","2000-07-29 04:14","29.3","34.3","2000-07-29 11:46","26.1","2000-07-29 04:50","23.9","74","55","2000-07-29 11:25","1.4","50","8.9","220","2000-07-29 12:39","0.0","0.0","0.0","...","0.0","...","9.3","70.6","22.75","21.3","5.6","11","2000-07-29 12:00","3.5"
"30","1000.3","1001.4","1004.1","2000-07-30 23:12","998.2","2000-07-30 13:55","29.1","36.9","2000-07-30 14:03","26.9","2000-07-30 02:12","23.6","74","39","2000-07-30 13:38","1.2","50","7.9","90","2000-07-30 17:27","0.0","0.0","0.0","...","0.0","...","2.4","18.2","13.26","19.4","3.8","8","2000-07-30 13:00","6.8"
"31","1003.2","1004.3","1005.4","2000-07-31 22:40","1001.5","2000-07-31 15:25","28.0","31.1","2000-07-31 12:44","26.4","2000-07-31 05:05","23.6","77","60","2000-07-31 12:34","1.1","260","6.1","80","2000-07-31 15:25","2.0","0.9","1.0","2000-07-31 09:52","2.0","2000-07-31 09:25","0.5","3.8","9.79","18.1","4.8","7","2000-07-31 13:00","9.5"
