"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1002.2","1003.3","1003.9","2006-07-10 21:35","1000.7","2006-07-10 15:22","30.6","34.7","2006-07-10 12:12","26.9","2006-07-10 02:43","24.7","72","57","2006-07-10 12:10","1.6","310","7.6","70","2006-07-10 13:18","0.0","0.0","0.0","...","0.0","...","9.4","70.1","26.41","20.4","6.7","11","2006-07-10 13:00","4.0"
"11","1002.5","1003.6","1004.1","2006-07-11 07:44","1001.1","2006-07-11 23:59","30.3","33.9","2006-07-11 12:44","28.4","2006-07-11 06:00","25.3","75","65","2006-07-11 11:07","1.7","330","8.0","60","2006-07-11 19:41","0.0","0.0","0.0","...","0.0","...","6.2","46.3","21.94","17.3","6.3","11","2006-07-11 12:00","4.6"
"12","994.1","995.2","1001.2","2006-07-12 00:01","989.5","2006-07-12 23:59","31.0","35.4","2006-07-12 11:11","27.8","2006-07-12 05:26","23.7","65","54","2006-07-12 11:13","2.6","50","14.4","60","2006-07-12 14:26","0.0","0.0","0.0","...","0.0","...","7.2","53.8","19.97","13.5","-5.8","10","2006-07-12 12:00","6.5"
"13","982.4","983.5","989.4","2006-07-13 00:01","976.9","2006-07-13 17:42","29.5","33.6","2006-07-13 13:06","27.6","2006-07-13 02:52","24.9","77","62","2006-07-13 00:41","1.8","340","8.8","190","2006-07-13 13:20","2.7","3.5","0.5","2006-07-13 19:32","1.5","2006-07-13 19:29","1.2","9.0","12.87","15.3","-1.5","9","2006-07-13 13:00","9.8"
"14","990.1","991.2","1000.8","2006-07-14 23:07","979.2","2006-07-14 01:42","27.3","30.2","2006-07-14 01:50","24.4","2006-07-14 19:17","24.4","84","67","2006-07-14 05:10","4.8","220","19.0","200","2006-07-14 06:58","104.5","14.7","7.5","2006-07-14 18:59","30.5","2006-07-14 18:49","0.0","0.0","3.69","9.5","/","3","2006-07-14 12:00","10.0"
"15","1004.0","1005.1","1006.6","2006-07-15 21:11","999.8","2006-07-15 01:41","27.2","29.7","2006-07-15 10:32","25.6","2006-07-15 13:57","25.0","87","79","2006-07-15 10:32","3.8","200","15.2","180","2006-07-15 13:46","14.0","5.5","3.0","2006-07-15 05:24","5.5","2006-07-15 04:34","0.2","1.5","8.10","10.9","/","6","2006-07-15 11:00","10.0"
"16","1007.8","1008.9","1011.3","2006-07-16 22:17","1005.4","2006-07-16 00:59","27.7","31.4","2006-07-16 13:26","24.3","2006-07-16 23:50","24.9","85","69","2006-07-16 12:39","2.1","210","13.1","220","2006-07-16 05:28","79.5","6.4","11.5","2006-07-16 06:34","35.5","2006-07-16 06:02","2.7","20.2","15.44","11.0","-4.7","10","2006-07-16 12:00","8.9"
"17","1009.0","1010.1","1012.1","2006-07-17 21:34","1006.1","2006-07-17 04:41","28.1","32.1","2006-07-17 12:50","24.8","2006-07-17 02:20","24.6","82","68","2006-07-17 10:12","1.3","320","5.3","190","2006-07-17 16:05","2.5","0.4","2.5","2006-07-17 20:33","2.5","2006-07-17 20:24","3.0","22.5","18.07","16.6","-3.3","9","2006-07-17 11:00","8.6"
"18","1009.9","1011.0","1011.0","2006-07-18 21:26","1008.9","2006-07-18 16:04","28.7","33.9","2006-07-18 14:22","24.9","2006-07-18 04:36","24.0","76","63","2006-07-18 14:21","1.3","310","5.5","180","2006-07-18 14:31","0.0","0.0","0.0","...","0.0","...","12.0","90.1","27.75","20.6","5.1","11","2006-07-18 13:00","2.5"
"19","1008.2","1009.3","1010.1","2006-07-19 00:01","1006.7","2006-07-19 16:20","28.9","32.0","2006-07-19 13:07","26.3","2006-07-19 04:43","24.0","75","62","2006-07-19 15:08","1.4","190","4.7","220","2006-07-19 12:53","0.0","0.0","0.0","...","0.0","...","12.3","92.4","28.74","20.4","6.2","11","2006-07-19 13:00","1.3"
"20","1006.9","1008.0","1008.2","2006-07-20 08:21","1005.1","2006-07-20 17:02","29.0","32.3","2006-07-20 13:14","25.7","2006-07-20 04:59","23.8","74","64","2006-07-20 07:51","1.4","310","4.6","200","2006-07-20 10:29","0.0","0.0","0.0","...","0.0","...","12.2","91.7","28.96","19.4","7.8","11","2006-07-20 13:00","2.1"
"21","1006.1","1007.2","1007.9","2006-07-21 22:55","1004.9","2006-07-21 15:46","29.5","32.9","2006-07-21 14:32","26.0","2006-07-21 05:28","23.6","71","55","2006-07-21 08:46","1.3","310","4.6","190","2006-07-21 10:24","0.0","0.0","0.0","...","0.0","...","11.9","89.6","28.57","20.4","5.6","11","2006-07-21 13:00","1.6"
"22","1005.5","1006.6","1007.2","2006-07-22 00:01","1003.9","2006-07-22 15:16","30.0","33.1","2006-07-22 15:13","27.1","2006-07-22 04:05","24.9","75","62","2006-07-22 07:44","1.4","310","5.1","210","2006-07-22 10:59","5.0","0.7","4.8","2006-07-22 22:00","5.0","2006-07-22 21:50","12.1","91.2","28.17","21.0","-4.4","11","2006-07-22 13:00","2.4"
"23","1003.2","1004.3","1006.1","2006-07-23 00:02","1001.5","2006-07-23 16:14","30.2","33.1","2006-07-23 14:14","27.3","2006-07-23 05:30","25.3","76","63","2006-07-23 08:45","1.6","320","6.4","110","2006-07-23 14:48","0.3","0.2","0.3","2006-07-23 18:40","0.3","2006-07-23 18:40","11.0","82.9","28.14","19.4","-7.8","12","2006-07-23 13:00","3.1"
"24","994.9","996.0","1002.5","2006-07-24 00:01","976.7","2006-07-24 23:06","29.8","33.7","2006-07-24 10:55","25.8","2006-07-24 23:56","24.1","72","58","2006-07-24 09:30","3.0","50","26.5","200","2006-07-24 23:08","67.4","5.4","14.0","2006-07-24 23:25","53.0","2006-07-24 23:00","5.7","43.0","17.21","11.0","-4.1","9","2006-07-24 12:00","8.4"
"25","997.2","998.3","1003.6","2006-07-25 23:09","981.4","2006-07-25 00:01","27.4","28.9","2006-07-25 08:10","25.7","2006-07-25 23:28","25.3","89","75","2006-07-25 20:49","5.2","200","26.3","210","2006-07-25 00:13","46.0","11.4","3.5","2006-07-25 00:15","12.0","2006-07-25 00:01","0.0","0.0","4.40","9.3","/","2","2006-07-25 14:00","9.8"
"26","1007.0","1008.1","1009.3","2006-07-26 22:31","1003.3","2006-07-26 00:01","24.9","26.5","2006-07-26 01:43","23.9","2006-07-26 18:16","24.2","96","86","2006-07-26 00:47","1.3","320","10.1","220","2006-07-26 01:12","200.2","20.2","13.5","2006-07-26 10:22","35.0","2006-07-26 10:10","0.0","0.0","0.57","8.1","/","1","2006-07-26 13:00","10.0"
"27","1008.6","1009.7","1009.7","2006-07-27 20:21","1007.1","2006-07-27 16:22","25.3","27.4","2006-07-27 11:21","24.0","2006-07-27 04:49","23.8","92","79","2006-07-27 11:35","1.0","10","6.1","280","2006-07-27 12:06","54.5","10.2","13.0","2006-07-27 11:56","24.5","2006-07-27 11:40","0.0","0.0","5.54","11.6","-2.1","4","2006-07-27 11:00","9.8"
"28","1009.0","1010.1","1010.9","2006-07-28 22:35","1007.7","2006-07-28 15:44","28.1","31.8","2006-07-28 14:08","24.7","2006-07-28 05:33","23.8","78","66","2006-07-28 09:01","1.3","60","5.9","50","2006-07-28 12:31","0.5","0.7","0.3","2006-07-28 20:45","0.5","2006-07-28 20:45","9.6","72.8","25.63","20.0","-2.8","11","2006-07-28 12:00","6.4"
"29","1010.5","1011.6","1012.3","2006-07-29 21:57","1008.7","2006-07-29 03:05","29.0","32.9","2006-07-29 13:25","25.8","2006-07-29 02:43","24.0","75","62","2006-07-29 07:58","1.6","50","6.6","90","2006-07-29 13:05","0.0","0.0","0.0","...","0.0","...","11.0","83.5","27.61","20.6","-5.9","11","2006-07-29 12:00","3.4"
"30","1011.0","1012.1","1012.5","2006-07-30 08:42","1009.7","2006-07-30 16:25","27.9","30.0","2006-07-30 16:25","26.1","2006-07-30 09:38","23.1","75","65","2006-07-30 16:38","1.6","330","8.3","60","2006-07-30 11:55","1.0","2.0","0.5","2006-07-30 09:17","1.0","2006-07-30 08:37","0.0","0.0","8.52","18.8","-1.3","4","2006-07-30 15:00","7.0"
"31","1009.9","1011.0","1011.3","2006-07-31 00:02","1008.3","2006-07-31 16:12","29.0","32.8","2006-07-31 13:03","25.9","2006-07-31 05:28","23.8","74","66","2006-07-31 08:07","2.1","70","8.3","60","2006-07-31 12:29","0.0","0.0","0.0","...","0.0","...","10.7","81.4","26.90","20.6","6.1","12","2006-07-31 13:00","2.9"
