"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1001.1","1002.2","1003.1","2007-07-10 00:01","998.8","2007-07-10 14:57","30.6","34.5","2007-07-10 15:13","27.5","2007-07-10 04:23","25.5","74","61","2007-07-10 15:12","2.4","200","13.4","220","2007-07-10 13:12","0.0","0.0","0.0","...","0.0","...","12.3","91.7","28.67","20.0","6.8","11","2007-07-10 12:00","1.9"
"11","1001.0","1002.1","1002.4","2007-07-11 21:05","999.5","2007-07-11 16:38","31.0","34.5","2007-07-11 11:49","28.8","2007-07-11 04:51","26.0","75","66","2007-07-11 11:40","1.6","180","5.2","210","2007-07-11 08:30","0.0","0.0","0.0","...","0.0","...","8.3","62.0","24.80","15.9","6.3","11","2007-07-11 13:00","4.3"
"12","997.7","998.8","1000.9","2007-07-12 00:02","995.3","2007-07-12 16:34","30.5","34.1","2007-07-12 13:33","27.4","2007-07-12 04:39","24.0","69","60","2007-07-12 08:26","1.6","70","7.2","90","2007-07-12 12:07","0.0","0.0","0.0","...","0.0","...","7.7","57.5","23.12","16.1","7.5","10","2007-07-12 13:00","6.8"
"13","994.9","996.0","998.7","2007-07-13 23:38","992.5","2007-07-13 04:15","31.0","34.3","2007-07-13 13:01","28.2","2007-07-13 04:46","24.8","70","58","2007-07-13 08:20","1.5","90","6.6","90","2007-07-13 14:12","0.0","0.0","0.0","...","0.0","...","11.9","88.9","27.41","16.5","6.1","9","2007-07-13 12:00","4.5"
"14","1000.1","1001.2","1003.7","2007-07-14 22:29","998.3","2007-07-14 03:08","31.8","35.5","2007-07-14 15:57","28.4","2007-07-14 04:31","24.0","64","47","2007-07-14 16:21","1.4","110","5.2","40","2007-07-14 17:23","0.0","0.0","0.0","...","0.0","...","11.8","88.3","27.05","17.4","5.4","9","2007-07-14 12:00","3.1"
"15","1003.1","1004.2","1005.2","2007-07-15 21:52","1001.5","2007-07-15 15:27","31.4","35.0","2007-07-15 14:27","28.9","2007-07-15 03:55","25.3","70","58","2007-07-15 17:48","2.0","200","10.7","210","2007-07-15 12:09","0.0","0.0","0.0","...","0.0","...","10.4","77.9","27.65","18.1","8.3","11","2007-07-15 13:00","4.4"
"16","1004.7","1005.8","1007.8","2007-07-16 23:32","1002.9","2007-07-16 03:37","31.0","35.7","2007-07-16 11:18","28.3","2007-07-16 04:14","25.1","72","53","2007-07-16 11:17","1.7","50","10.1","60","2007-07-16 15:00","0.0","0.0","0.0","...","0.0","...","9.4","70.4","26.42","17.5","7.3","10","2007-07-16 12:00","5.0"
"17","1005.8","1006.9","1007.9","2007-07-17 21:51","1004.1","2007-07-17 13:05","31.1","36.3","2007-07-17 13:38","28.1","2007-07-17 02:07","25.2","71","55","2007-07-17 13:00","1.8","60","9.9","50","2007-07-17 15:44","0.0","0.0","0.0","...","0.0","...","11.6","87.0","28.40","20.6","7.1","10","2007-07-17 12:00","3.1"
"18","1005.8","1006.9","1007.5","2007-07-18 00:04","1004.1","2007-07-18 15:47","30.8","34.9","2007-07-18 12:46","28.5","2007-07-18 05:25","24.9","71","57","2007-07-18 11:07","1.3","70","6.4","110","2007-07-18 12:37","0.0","0.0","0.0","...","0.0","...","2.9","21.8","20.08","15.5","6.6","11","2007-07-18 13:00","7.8"
"19","1005.3","1006.4","1007.0","2007-07-19 22:17","1002.9","2007-07-19 16:02","31.1","35.4","2007-07-19 14:58","28.4","2007-07-19 05:33","24.9","70","54","2007-07-19 15:48","1.3","140","6.0","60","2007-07-19 17:21","0.0","0.0","0.0","...","0.0","...","10.0","75.1","26.71","19.8","6.5","10","2007-07-19 13:00","4.1"
"20","1005.9","1007.0","1007.4","2007-07-20 08:47","1003.9","2007-07-20 15:46","31.3","35.3","2007-07-20 12:09","28.2","2007-07-20 05:08","25.0","69","55","2007-07-20 12:09","1.4","190","6.2","170","2007-07-20 11:09","0.0","0.0","0.0","...","0.0","...","12.1","91.0","28.57","20.0","6.9","10","2007-07-20 13:00","2.4"
"21","1006.4","1007.5","1007.8","2007-07-21 09:34","1005.3","2007-07-21 01:09","31.0","34.4","2007-07-21 11:52","27.9","2007-07-21 04:29","23.4","64","48","2007-07-21 08:10","1.6","310","6.3","180","2007-07-21 13:28","0.0","0.0","0.0","...","0.0","...","12.2","91.8","28.50","17.9","6.9","10","2007-07-21 13:00","1.1"
"22","1007.2","1008.3","1008.5","2007-07-22 21:11","1005.8","2007-07-22 02:12","30.8","34.3","2007-07-22 12:53","28.5","2007-07-22 05:07","24.7","70","59","2007-07-22 03:54","1.5","110","5.9","110","2007-07-22 11:13","0.0","0.0","0.0","...","0.0","...","10.7","80.6","27.70","14.0","5.4","10","2007-07-22 12:00","1.9"
"23","1008.8","1009.9","1010.6","2007-07-23 22:22","1007.4","2007-07-23 02:39","30.5","34.3","2007-07-23 13:50","27.6","2007-07-23 05:02","24.4","70","61","2007-07-23 08:22","1.3","180","5.1","140","2007-07-23 09:47","0.0","0.0","0.0","...","0.0","...","11.4","86.0","27.87","17.4","8.4","10","2007-07-23 12:00","2.4"
"24","1009.8","1010.9","1011.2","2007-07-24 21:50","1008.3","2007-07-24 16:43","30.6","34.2","2007-07-24 12:57","27.9","2007-07-24 05:26","24.5","70","63","2007-07-24 08:03","1.6","190","6.4","220","2007-07-24 16:22","0.0","0.0","0.0","...","0.0","...","11.2","84.5","27.70","17.0","7.2","10","2007-07-24 13:00","2.4"
"25","1009.8","1010.9","1011.0","2007-07-25 08:55","1008.1","2007-07-25 16:08","30.5","34.3","2007-07-25 14:05","27.7","2007-07-25 05:21","23.4","66","58","2007-07-25 07:38","1.4","180","6.0","160","2007-07-25 12:09","0.0","0.0","0.0","...","0.0","...","11.6","87.7","27.84","16.6","7.1","10","2007-07-25 13:00","2.0"
"26","1009.3","1010.4","1010.9","2007-07-26 21:57","1007.8","2007-07-26 16:44","30.6","34.0","2007-07-26 12:55","27.2","2007-07-26 05:36","24.3","69","56","2007-07-26 12:55","1.4","120","5.1","130","2007-07-26 10:57","0.0","0.0","0.0","...","0.0","...","12.1","91.5","28.76","18.3","5.9","10","2007-07-26 13:00","2.0"
"27","1009.5","1010.6","1010.7","2007-07-27 08:08","1007.9","2007-07-27 16:45","30.8","34.4","2007-07-27 12:26","27.9","2007-07-27 05:49","24.4","69","54","2007-07-27 08:03","1.4","320","6.4","30","2007-07-27 20:45","0.0","0.0","0.0","...","0.0","...","11.3","85.6","27.25","22.3","8.0","10","2007-07-27 13:00","3.8"
"28","1009.1","1010.2","1010.2","2007-07-28 07:31","1007.7","2007-07-28 16:12","30.8","34.2","2007-07-28 11:42","27.6","2007-07-28 05:27","24.6","70","59","2007-07-28 07:35","1.5","130","5.2","140","2007-07-28 13:53","0.0","0.0","0.0","...","0.0","...","11.1","84.2","27.37","15.9","7.3","9","2007-07-28 13:00","1.8"
"29","1008.9","1010.0","1010.6","2007-07-29 22:17","1007.7","2007-07-29 03:34","28.9","34.5","2007-07-29 12:42","26.2","2007-07-29 15:52","23.8","74","61","2007-07-29 11:25","1.7","310","7.5","110","2007-07-29 11:04","4.0","0.5","2.5","2007-07-29 14:14","4.0","2007-07-29 14:12","6.8","51.6","17.50","14.8","-4.9","10","2007-07-29 12:00","5.1"
"30","1008.6","1009.7","1009.8","2007-07-30 00:01","1007.3","2007-07-30 15:21","29.6","34.1","2007-07-30 13:21","26.1","2007-07-30 05:01","23.6","70","58","2007-07-30 08:22","1.5","310","5.7","90","2007-07-30 12:23","0.0","0.0","0.0","...","0.0","...","9.6","73.0","26.39","15.5","5.8","10","2007-07-30 13:00","5.0"
"31","1007.3","1008.4","1008.7","2007-07-31 00:01","1005.5","2007-07-31 16:06","29.7","33.9","2007-07-31 14:45","26.5","2007-07-31 05:11","23.9","71","61","2007-07-31 08:09","1.7","310","4.8","120","2007-07-31 12:01","0.0","0.0","0.0","...","0.0","...","10.2","77.6","26.62","18.0","6.1","10","2007-07-31 13:00","4.5"
