"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"18","975.4","976.5","986.5","2005-07-18 00:01","965.3","2005-07-18 07:12","29.4","37.4","2005-07-18 06:26","25.7","2005-07-18 01:35","22.4","68","34","2005-07-18 06:16","5.9","200","27.8","190","2005-07-18 16:49","3.0","5.5","0.5","2005-07-18 17:10","1.0","2005-07-18 16:50","0.0","0.0","2.12","13.5","-0.2","3","2005-07-18 13:00","10.0"
"19","992.6","993.7","998.5","2005-07-19 22:20","984.5","2005-07-19 00:04","25.6","27.6","2005-07-19 00:28","24.7","2005-07-19 18:07","23.4","88","73","2005-07-19 00:29","5.7","210","24.0","190","2005-07-19 00:07","106.0","19.9","6.0","2005-07-19 14:31","13.5","2005-07-19 21:40","0.0","0.0","0.25","9.4","X","1","2005-07-19 14:00","10.0"
"20","1000.9","1002.0","1003.1","2005-07-20 17:19","997.3","2005-07-20 04:34","24.2","25.4","2005-07-20 00:01","23.7","2005-07-20 12:45","22.4","90","86","2005-07-20 06:45","1.6","320","13.4","220","2005-07-20 00:56","88.0","18.8","5.5","2005-07-20 15:13","15.0","2005-07-20 00:01","0.0","0.0","0.00","10.3","-1.8","0","2005-07-20 15:00","10.0"
"21","1003.0","1004.1","1006.0","2005-07-21 22:26","1001.0","2005-07-21 15:35","25.9","29.5","2005-07-21 14:20","23.8","2005-07-21 00:02","22.1","80","67","2005-07-21 18:22","1.4","40","10.2","30","2005-07-21 18:04","5.5","3.9","1.0","2005-07-21 08:34","2.5","2005-07-21 08:19","0.7","5.3","9.69","16.1","-2.2","7","2005-07-21 14:00","9.0"
"22","1005.7","1006.8","1007.6","2005-07-22 22:42","1004.4","2005-07-22 04:11","27.7","31.5","2005-07-22 11:34","24.2","2005-07-22 05:26","22.6","74","68","2005-07-22 10:43","1.4","320","7.1","70","2005-07-22 13:38","0.0","0.0","0.0","...","0.0","...","7.2","54.2","23.94","18.5","4.2","12","2005-07-22 12:00","4.1"
"23","1005.6","1006.7","1007.1","2005-07-23 00:01","1003.8","2005-07-23 16:26","28.6","31.9","2005-07-23 12:55","25.6","2005-07-23 05:11","23.1","72","64","2005-07-23 07:44","1.5","320","6.8","100","2005-07-23 12:19","0.0","0.0","0.0","...","0.0","...","10.2","76.9","27.15","19.8","4.5","12","2005-07-23 12:00","4.0"
"24","1003.9","1005.0","1005.5","2005-07-24 00:02","1002.4","2005-07-24 16:13","28.8","31.8","2005-07-24 10:36","25.8","2005-07-24 05:36","22.7","70","59","2005-07-24 09:11","1.6","320","6.0","100","2005-07-24 11:17","0.0","0.0","0.0","...","0.0","...","10.7","80.8","27.56","20.5","4.7","12","2005-07-24 13:00","4.3"
"25","1003.3","1004.4","1004.4","2005-07-25 21:48","1002.3","2005-07-25 04:41","28.0","31.9","2005-07-25 14:04","24.6","2005-07-25 05:16","21.4","68","58","2005-07-25 11:13","1.7","310","5.1","340","2005-07-25 06:11","0.0","0.0","0.0","...","0.0","...","11.6","87.7","27.92","20.8","4.9","12","2005-07-25 12:00","1.8"
"26","1004.2","1005.3","1006.1","2005-07-26 21:34","1003.1","2005-07-26 01:26","28.1","32.2","2005-07-26 14:42","24.7","2005-07-26 05:38","21.5","68","54","2005-07-26 08:08","1.4","320","5.8","110","2005-07-26 14:21","0.0","0.0","0.0","...","0.0","...","11.7","88.5","27.83","19.8","5.4","12","2005-07-26 12:00","1.6"
"27","1005.6","1006.7","1007.5","2005-07-27 22:02","1004.1","2005-07-27 02:48","28.7","32.2","2005-07-27 13:53","24.8","2005-07-27 04:13","22.2","68","57","2005-07-27 08:16","1.3","310","4.3","310","2005-07-27 02:42","0.0","0.0","0.0","...","0.0","...","11.5","87.1","27.88","18.1","5.2","13","2005-07-27 13:00","1.8"
"28","1006.0","1007.1","1007.2","2005-07-28 00:19","1004.6","2005-07-28 15:11","28.5","32.8","2005-07-28 12:54","25.9","2005-07-28 05:33","22.6","71","57","2005-07-28 08:34","1.2","320","5.4","60","2005-07-28 12:11","T","0.3","T","2005-07-28 10:15","T","2005-07-28 10:15","4.2","31.8","16.07","17.6","-2.0","13","2005-07-28 13:00","6.3"
"29","1006.5","1007.6","1008.1","2005-07-29 22:31","1005.0","2005-07-29 02:31","28.6","33.4","2005-07-29 12:00","26.0","2005-07-29 05:14","24.2","78","62","2005-07-29 11:55","1.1","320","5.1","110","2005-07-29 14:49","9.5","2.8","2.0","2005-07-29 03:40","5.0","2005-07-29 03:38","4.2","31.9","17.71","16.9","-1.9","13","2005-07-29 12:00","8.8"
"30","1008.3","1009.4","1010.2","2005-07-30 22:27","1006.4","2005-07-30 01:51","29.4","33.0","2005-07-30 13:19","26.4","2005-07-30 04:35","24.3","74","66","2005-07-30 13:18","1.4","180","5.1","210","2005-07-30 16:09","0.0","0.0","0.0","...","0.0","...","9.8","74.5","26.54","19.8","5.5","14","2005-07-30 12:00","3.9"
"31","1009.3","1010.4","1010.4","2005-07-31 10:17","1008.0","2005-07-31 16:39","29.7","32.9","2005-07-31 11:47","26.5","2005-07-31 05:34","24.2","73","62","2005-07-31 07:51","1.4","190","4.9","180","2005-07-31 11:40","0.0","0.0","0.0","...","0.0","...","11.9","90.5","28.23","19.4","4.1","13","2005-07-31 13:00","1.6"
