"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","990.4","991.5","995.6","2002-07-10 22:29","987.5","2002-07-10 03:59","29.5","33.4","2002-07-10 12:11","26.8","2002-07-10 05:09","25.4","79","65","2002-07-10 12:10","1.7","50","9.1","90","2002-07-10 12:49","T","0.2","T","2002-07-10 19:05","T","2002-07-10 19:05","7.2","53.7","19.22","19.6","-5.8","14","2002-07-10 12:00","6.5"
"11","997.0","998.1","1000.4","2002-07-11 22:30","993.4","2002-07-11 04:19","28.3","31.3","2002-07-11 11:09","26.0","2002-07-11 18:13","25.2","84","73","2002-07-11 07:30","1.2","60","6.7","90","2002-07-11 10:12","25.0","5.4","8.5","2002-07-11 17:53","16.5","2002-07-11 17:23","1.9","14.2","7.98","15.3","-3.1","7","2002-07-11 12:00","8.6"
"12","999.8","1000.9","1001.9","2002-07-12 21:23","997.6","2002-07-12 03:15","28.1","33.1","2002-07-12 12:33","25.4","2002-07-12 20:12","24.7","82","67","2002-07-12 12:07","1.6","300","7.0","90","2002-07-12 11:18","27.5","2.6","18.5","2002-07-12 17:50","24.5","2002-07-12 17:50","7.1","53.0","17.82","19.0","-6.6","13","2002-07-12 13:00","8.5"
"13","1000.2","1001.3","1001.4","2002-07-13 08:52","999.1","2002-07-13 17:49","29.1","33.2","2002-07-13 12:53","25.6","2002-07-13 04:51","23.9","74","60","2002-07-13 12:37","1.3","300","5.7","160","2002-07-13 13:47","0.0","0.0","0.0","...","0.0","...","10.3","77.0","22.94","22.3","5.1","14","2002-07-13 13:00","4.1"
"14","999.1","1000.2","1000.8","2002-07-14 21:52","997.9","2002-07-14 02:27","29.5","32.7","2002-07-14 09:19","26.1","2002-07-14 05:49","23.6","71","54","2002-07-14 09:19","1.2","130","5.1","230","2002-07-14 12:22","0.0","0.0","0.0","...","0.0","...","11.6","86.8","24.20","19.5","6.6","13","2002-07-14 12:00","4.0"
"15","1000.7","1001.8","1003.7","2002-07-15 21:46","998.7","2002-07-15 02:43","29.5","34.0","2002-07-15 10:32","27.0","2002-07-15 03:42","24.1","73","59","2002-07-15 10:31","3.2","200","16.6","240","2002-07-15 15:40","0.0","0.0","0.0","...","0.0","...","11.0","82.3","24.24","20.6","7.8","14","2002-07-15 12:00","4.9"
"16","1002.5","1003.6","1005.7","2002-07-16 22:11","1000.6","2002-07-16 15:41","29.6","32.6","2002-07-16 13:51","26.8","2002-07-16 23:08","23.5","70","59","2002-07-16 15:52","2.9","210","13.4","260","2002-07-16 04:46","0.0","0.0","0.0","...","0.0","...","11.9","89.2","23.99","22.3","-6.4","14","2002-07-16 13:00","3.1"
"17","1003.2","1004.3","1004.8","2002-07-17 09:01","1000.7","2002-07-17 15:48","27.7","30.4","2002-07-17 14:43","26.1","2002-07-17 10:18","23.6","79","64","2002-07-17 14:42","1.4","230","11.4","300","2002-07-17 04:20","3.5","5.5","0.5","2002-07-17 07:00","1.0","2002-07-17 07:00","0.2","1.5","3.92","15.4","-3.5","3","2002-07-17 14:00","8.1"
"18","1002.3","1003.4","1004.5","2002-07-18 22:19","1001.1","2002-07-18 13:50","28.3","32.1","2002-07-18 11:44","26.0","2002-07-18 02:01","23.2","74","64","2002-07-18 11:43","2.4","210","13.6","270","2002-07-18 10:53","0.0","0.0","0.0","...","0.0","...","5.7","42.8","16.49","19.4","4.5","12","2002-07-18 12:00","6.9"
"19","1005.2","1006.3","1008.6","2002-07-19 22:24","1003.0","2002-07-19 02:43","28.8","32.1","2002-07-19 11:41","26.9","2002-07-19 23:03","23.9","75","62","2002-07-19 12:43","2.9","200","14.6","280","2002-07-19 11:26","0.0","0.0","0.0","...","0.0","...","9.2","69.1","23.22","20.6","5.7","14","2002-07-19 12:00","7.1"
"20","1008.8","1009.9","1010.1","2002-07-20 09:50","1007.3","2002-07-20 16:09","28.7","32.1","2002-07-20 13:38","25.7","2002-07-20 04:37","23.2","73","60","2002-07-20 08:29","1.2","290","5.2","230","2002-07-20 16:36","0.0","0.0","0.0","...","0.0","...","10.4","78.2","24.50","21.9","4.0","13","2002-07-20 13:00","3.9"
"21","1007.7","1008.8","1009.5","2002-07-21 00:01","1006.0","2002-07-21 15:34","28.8","32.4","2002-07-21 13:45","25.3","2002-07-21 05:02","22.5","69","55","2002-07-21 07:35","1.7","300","7.0","90","2002-07-21 12:30","0.0","0.0","0.0","...","0.0","...","10.7","80.5","25.70","20.1","5.4","14","2002-07-21 13:00","4.4"
"22","1005.8","1006.9","1007.5","2002-07-22 00:01","1004.3","2002-07-22 15:57","29.1","32.5","2002-07-22 12:51","25.5","2002-07-22 05:33","22.9","69","57","2002-07-22 07:39","1.5","60","6.6","110","2002-07-22 10:07","0.0","0.0","0.0","...","0.0","...","11.9","89.6","25.59","21.6","5.0","14","2002-07-22 12:00","3.6"
"23","1004.7","1005.8","1006.5","2002-07-23 00:01","1003.2","2002-07-23 14:52","29.3","32.4","2002-07-23 12:01","26.3","2002-07-23 05:29","23.0","69","58","2002-07-23 09:43","1.4","100","6.0","140","2002-07-23 11:46","0.0","0.0","0.0","...","0.0","...","11.0","82.9","24.95","22.9","3.7","14","2002-07-23 13:00","2.9"
"24","1003.9","1005.0","1005.0","2002-07-24 00:01","1002.9","2002-07-24 15:09","29.4","33.2","2002-07-24 13:37","26.5","2002-07-24 04:44","22.9","68","60","2002-07-24 07:40","1.4","130","4.8","180","2002-07-24 13:19","0.0","0.0","0.0","...","0.0","...","8.9","67.2","21.93","22.5","8.5","14","2002-07-24 13:00","4.5"
"25","1001.1","1002.2","1003.3","2002-07-25 00:01","998.8","2002-07-25 16:25","29.3","33.1","2002-07-25 13:53","26.6","2002-07-25 05:10","23.5","71","61","2002-07-25 09:55","1.2","140","4.5","180","2002-07-25 13:54","0.0","0.0","0.0","...","0.0","...","8.2","62.0","20.45","20.6","3.2","13","2002-07-25 13:00","5.0"
"26","1000.4","1001.5","1003.3","2002-07-26 22:28","998.8","2002-07-26 01:38","29.7","33.6","2002-07-26 14:58","26.7","2002-07-26 05:17","23.0","68","50","2002-07-26 08:23","1.6","310","6.0","70","2002-07-26 18:09","0.0","0.0","0.0","...","0.0","...","11.8","89.3","23.90","21.0","7.0","13","2002-07-26 13:00","2.5"
"27","1004.6","1005.7","1007.4","2002-07-27 23:01","1002.2","2002-07-27 03:07","29.6","33.3","2002-07-27 13:29","26.6","2002-07-27 05:57","23.0","68","53","2002-07-27 08:13","1.3","320","6.3","260","2002-07-27 12:53","0.0","0.0","0.0","...","0.0","...","11.5","87.1","24.25","21.0","6.8","13","2002-07-27 13:00","1.9"
"28","1007.2","1008.3","1008.4","2002-07-28 11:25","1005.8","2002-07-28 02:59","28.7","32.5","2002-07-28 09:00","26.1","2002-07-28 12:11","22.9","71","53","2002-07-28 15:29","1.1","310","9.0","180","2002-07-28 11:30","3.0","0.7","2.5","2002-07-28 11:37","3.0","2002-07-28 11:30","4.4","33.4","11.67","18.9","-2.1","6","2002-07-28 14:00","6.4"
"29","1006.7","1007.8","1007.7","2002-07-29 10:49","1005.9","2002-07-29 16:14","28.8","32.3","2002-07-29 14:17","26.2","2002-07-29 04:52","22.8","70","60","2002-07-29 07:45","1.3","310","5.2","30","2002-07-29 18:26","0.0","0.0","0.0","...","0.0","...","8.7","66.0","19.99","22.5","5.1","13","2002-07-29 13:00","5.3"
"30","1005.5","1006.6","1006.6","2002-07-30 00:02","1004.4","2002-07-30 15:51","28.4","33.1","2002-07-30 12:28","26.4","2002-07-30 04:58","23.3","74","62","2002-07-30 07:37","1.6","300","7.2","140","2002-07-30 11:50","2.0","0.2","2.0","2002-07-30 15:10","2.0","2002-07-30 15:10","5.9","44.8","15.14","20.4","-3.7","11","2002-07-30 11:00","6.8"
"31","1003.4","1004.5","1005.0","2002-07-31 00:09","1001.5","2002-07-31 16:30","28.5","33.0","2002-07-31 11:35","25.8","2002-07-31 04:24","22.2","69","55","2002-07-31 09:41","2.3","40","13.6","100","2002-07-31 14:32","0.0","0.0","0.0","...","0.0","...","5.5","41.8","17.84","19.8","-4.1","13","2002-07-31 12:00","7.5"
